Date,AAPL,ABBV,ACN,ADBE,AMD,AMZN,AVGO,BAC,BRK-B,COST,CRM,CSCO,CVX,DHR,GOOGL,HD,INTC,JNJ,JPM,KO,LIN,LLY,MA,MCD,META,MRK,MSFT,NFLX,NVDA,ORCL,PEP,PG,QCOM,TMO,TSLA,TXN,UNH,V,WMT,XOM
2015-01-02,24.21489906311035,41.411922454833984,73.62821960449219,72.33999633789062,2.6700000762939453,15.425999641418457,7.544513702392578,14.123798370361328,149.1699981689453,113.98029327392578,58.382843017578125,19.603919982910156,69.52938842773438,34.93293380737305,26.260459899902344,79.37124633789062,27.896459579467773,76.54862213134766,46.274322509765625,29.58001136779785,105.96891784667969,57.380950927734375,79.8482894897461,70.27788543701172,77.83914947509766,38.484344482421875,39.767677307128906,4.984857082366943,0.482985258102417,37.353553771972656,67.28346252441406,66.04938507080078,53.98833084106445,123.79857635498047,14.620667457580566,39.301429748535156,83.82878875732422,61.214744567871094,23.17168426513672,57.533409118652344
2015-01-05,23.5327205657959,40.632564544677734,72.38504791259766,71.9800033569336,2.6600000858306885,15.10949993133545,7.423908710479736,13.713500022888184,147.0,112.68443298339844,57.328330993652344,19.213394165039062,66.75019073486328,34.58653259277344,25.760093688964844,77.70601654052734,27.581892013549805,76.01399230957031,44.837738037109375,29.58001136779785,103.17189025878906,56.81584167480469,77.60234832763672,69.50170135498047,76.5889663696289,39.05632400512695,39.40199279785156,4.731142997741699,0.4748275876045227,36.829715728759766,66.77763366699219,65.73535919189453,53.73393630981445,122.09793853759766,14.005999565124512,38.69148254394531,82.44798278808594,59.86349105834961,23.1042423248291,55.95920181274414
2015-01-06,23.534936904907227,40.43144989013672,71.8629379272461,70.52999877929688,2.630000114440918,14.76449966430664,7.255065441131592,13.303201675415039,146.83999633789062,114.1734848022461,56.37236022949219,19.206296920776367,66.71929931640625,34.35017013549805,25.12434959411621,77.4681167602539,27.067840576171875,75.6404800415039,43.67513656616211,29.804628372192383,101.85086059570312,57.10248565673828,77.43460845947266,69.62980651855469,75.55706024169922,40.5905876159668,38.823665618896484,4.650143146514893,0.4604314863681793,36.44951629638672,66.27179718017578,65.43590545654297,52.97077178955078,120.95775604248047,14.085332870483398,38.052146911621094,82.2816162109375,59.4777717590332,23.282285690307617,55.661712646484375
2015-01-07,23.86494255065918,42.065555572509766,73.37129211425781,71.11000061035156,2.5799999237060547,14.920999526977539,7.451044082641602,13.36632251739502,148.8800048828125,116.16158294677734,56.106266021728516,19.383806228637695,66.6637191772461,34.55801010131836,25.050460815429688,80.12332153320312,27.635608673095703,77.31029510498047,43.741764068603516,30.176673889160156,102.99246978759766,56.701168060302734,78.63914489746094,70.84305572509766,75.55706024169922,41.45866394042969,39.31694030761719,4.674285888671875,0.4592318832874298,36.45795440673828,68.20964050292969,65.77918243408203,53.58858108520508,124.58123779296875,14.063332557678223,38.73557662963867,83.12174224853516,60.274654388427734,23.900009155273438,56.22570037841797
2015-01-08,24.781896591186523,42.50550842285156,74.49014282226562,72.91999816894531,2.609999895095825,15.02299976348877,7.8234076499938965,13.642486572265625,151.3699951171875,117.15962219238281,57.74224853515625,19.532913208007812,68.18920135498047,35.09186553955078,25.137739181518555,81.89595794677734,28.14963150024414,77.91816711425781,44.71925354003906,30.541683197021484,104.68864440917969,58.044376373291016,79.86229705810547,71.10679626464844,77.5712661743164,42.2930793762207,40.473567962646484,4.7779998779296875,0.4765070974826813,36.67762756347656,69.44927978515625,66.5313949584961,54.155494689941406,125.8759994506836,14.041333198547363,39.3675651550293,87.08943176269531,61.08309555053711,24.40444564819336,57.161537170410156
2015-01-09,24.808473587036133,41.34278106689453,74.40725708007812,71.83999633789062,2.630000114440918,14.846500396728516,7.907073974609375,13.397880554199219,149.47000122070312,115.35668182373047,57.31847381591797,19.73172378540039,66.83045196533203,34.85549545288086,24.830772399902344,80.49163055419922,28.20335578918457,76.8562240600586,43.941707611083984,30.204748153686523,103.27790832519531,57.27448654174805,78.84453582763672,70.24020385742188,77.13468933105469,42.09792709350586,40.13338088989258,4.704143047332764,0.4784265160560608,36.660728454589844,68.97907257080078,65.91062927246094,54.0900764465332,125.37357330322266,13.77733325958252,39.389625549316406,86.27425384521484,60.17765426635742,24.10232162475586,57.08100509643555
2015-01-12,24.19717025756836,41.3302116394043,74.18351745605469,71.12000274658203,2.630000114440918,14.570500373840332,7.7759222984313965,13.161174774169922,148.27999877929688,114.7127685546875,56.89469528198242,19.91632080078125,65.3914566040039,34.42351531982422,24.649272918701172,80.1309585571289,28.080591201782227,76.59258270263672,43.56406021118164,29.930980682373047,103.04954528808594,56.85676956176758,77.83611297607422,70.08950805664062,76.12263488769531,41.922969818115234,39.631595611572266,4.554714202880859,0.47242820262908936,36.5593376159668,68.69409942626953,65.66960906982422,53.472286224365234,124.16574096679688,13.480667114257812,39.036869049072266,85.3010482788086,60.05982971191406,24.283058166503906,55.98400115966797
2015-01-13,24.41202163696289,40.13975524902344,74.44873809814453,70.58999633789062,2.6600000858306885,14.737000465393066,7.732201099395752,12.979693412780762,148.6300048828125,113.56182098388672,57.131221771240234,19.951831817626953,64.3539047241211,34.37461853027344,24.88433265686035,79.60148620605469,28.003873825073242,76.72439575195312,43.57146453857422,29.92396354675293,102.34013366699219,56.824031829833984,78.01348876953125,69.95384979248047,75.85472869873047,41.848941802978516,39.427494049072266,4.625570774078369,0.47170835733413696,36.27206802368164,68.64421844482422,65.9471435546875,53.036190032958984,124.0111312866211,13.616666793823242,38.79437255859375,85.73360443115234,60.23538589477539,24.091535568237305,55.77947998046875
2015-01-14,24.318981170654297,40.336055755615234,73.5784912109375,69.98999786376953,2.630000114440918,14.66349983215332,7.793254852294922,12.656190872192383,147.82000732421875,112.1290512084961,56.42163848876953,19.824018478393555,64.16860961914062,33.83262252807617,25.089136123657227,78.76500701904297,27.888784408569336,76.16777801513672,42.06822967529297,29.874834060668945,101.59805297851562,57.13527297973633,77.92945861816406,68.98174285888672,75.68605041503906,42.15176773071289,39.08732223510742,4.631999969482422,0.47362789511680603,36.381900787353516,68.87218475341797,65.72074127197266,52.49108123779297,121.94331359863281,12.845999717712402,38.73557662963867,85.94985961914062,59.0296630859375,23.363208770751953,55.61832046508789
2015-01-15,23.658958435058594,39.82314682006836,73.07294464111328,70.29000091552734,2.5199999809265137,14.34749984741211,7.6372246742248535,11.99339485168457,147.5800018310547,112.1290512084961,54.31260681152344,19.46190643310547,63.408973693847656,33.42917251586914,24.993927001953125,77.51416015625,27.766019821166992,75.0618896484375,40.72050857543945,29.74847412109375,101.50022888183594,57.118873596191406,76.79966735839844,68.86116027832031,73.47342681884766,41.640350341796875,38.67909622192383,4.625143051147461,0.4702688455581665,36.01860427856445,68.87218475341797,65.62578582763672,51.88054656982422,119.94316864013672,12.791333198547363,38.50041198730469,86.88980102539062,58.46837615966797,23.57090950012207,55.13490676879883
2015-01-16,23.47513198852539,40.86796188354492,73.66966247558594,71.7300033569336,2.390000104904175,14.536999702453613,7.82567024230957,12.13542366027832,149.2100067138672,112.45911407470703,55.820465087890625,19.65361976623535,64.92210388183594,33.637001037597656,25.313779830932617,79.90074920654297,27.965511322021484,76.1970443725586,41.416587829589844,29.853778839111328,100.73365783691406,57.88876724243164,78.24693298339844,68.94406127929688,74.59461975097656,42.414207458496094,39.32544708251953,4.819142818450928,0.47890639305114746,36.762115478515625,69.31393432617188,66.6409683227539,51.81513977050781,121.06404876708984,12.871333122253418,39.16180419921875,87.97943115234375,58.88875961303711,23.406362533569336,56.47361373901367
2015-01-20,24.079784393310547,40.17774963378906,73.44588470458984,71.48999786376953,2.240000009536743,14.472000122070312,7.904815673828125,12.04073715209961,148.6300048828125,112.1854248046875,56.4610595703125,19.930530548095703,65.75585174560547,33.81223678588867,25.287994384765625,79.23312377929688,27.68930435180664,74.18302917480469,41.2536735534668,30.2960147857666,101.85900115966797,58.99445343017578,78.67645263671875,68.4240951538086,75.6463623046875,42.13157653808594,39.452999114990234,4.9828572273254395,0.48034602403640747,37.09162521362305,69.47067260742188,66.59710693359375,52.680049896240234,121.01573181152344,12.795332908630371,39.543949127197266,87.85467529296875,59.32532501220703,23.384788513183594,56.45503616333008
2015-01-21,24.26361846923828,39.702842712402344,73.21383666992188,71.54000091552734,2.450000047683716,14.862500190734863,7.943258762359619,12.159090995788574,147.17999267578125,111.99227142333984,56.87498474121094,19.767223358154297,66.79959106445312,33.930419921875,25.80621337890625,79.44800567626953,27.9885196685791,74.62977600097656,41.386959075927734,30.436399459838867,102.47877502441406,59.16645050048828,78.17223358154297,68.07742309570312,76.1424789428711,41.82876205444336,39.05329513549805,5.846857070922852,0.4870641231536865,36.745208740234375,69.39230346679688,66.73245239257812,52.03318405151367,121.13167572021484,13.104666709899902,39.88933563232422,90.93231964111328,59.426944732666016,23.371295928955078,56.93843460083008
2015-01-22,24.894845962524414,39.880149841308594,74.17522430419922,73.4800033569336,2.4700000286102295,15.515999794006348,7.929688930511475,12.695640563964844,150.14999389648438,113.70662689208984,57.160789489746094,20.235841751098633,67.26895141601562,34.43575668334961,26.64478302001953,81.39714050292969,28.318429946899414,75.99201965332031,42.645835876464844,30.731201171875,103.93841552734375,59.346649169921875,78.78849029541016,68.49191284179688,77.04540252685547,42.11811065673828,40.082374572753906,6.120571136474609,0.4954617917537689,37.21837615966797,70.46099090576172,67.3870620727539,52.265769958496094,122.71637725830078,13.441332817077637,40.39640808105469,94.70040893554688,59.5008659362793,23.819082260131836,57.558231353759766
2015-01-23,25.023313522338867,39.531864166259766,73.94316101074219,74.05999755859375,2.450000047683716,15.619500160217285,8.063861846923828,12.411587715148926,149.1199951171875,114.3344497680664,57.77180862426758,20.029932022094727,65.99053955078125,34.28904342651367,26.87537384033203,80.8600082397461,27.965511322021484,74.84947967529297,41.97196578979492,30.401290893554688,103.02510070800781,59.07638168334961,78.79784393310547,67.48966217041016,77.22399139404297,42.050838470458984,40.12489318847656,6.249429225921631,0.49690157175064087,37.33665084838867,70.19734954833984,66.25436401367188,52.46200180053711,120.65817260742188,13.419333457946777,40.46254348754883,93.16156768798828,59.660240173339844,23.875732421875,56.3310661315918
2015-01-26,25.049884796142578,39.78516387939453,73.8271484375,72.73999786376953,2.609999895095825,15.482999801635742,8.04502010345459,12.506268501281738,149.6999969482422,115.02667236328125,58.9150276184082,19.859525680541992,67.24427795410156,34.09342956542969,26.616018295288086,81.61971282958984,27.4744815826416,74.89344787597656,42.038612365722656,30.183696746826172,101.54095458984375,59.059967041015625,78.0601806640625,68.3261489868164,76.89656066894531,42.27288055419922,39.98030090332031,6.379428863525391,0.4947420060634613,37.09162521362305,70.31135559082031,65.88660430908203,52.77454376220703,121.40223693847656,13.770000457763672,40.45519256591797,92.83716583251953,59.25370788574219,23.908105850219727,56.87027359008789
2015-01-27,24.17281723022461,39.95612716674805,71.40713500976562,71.45999908447266,2.700000047683716,15.337499618530273,7.898787021636963,12.332683563232422,147.64999389648438,113.48126983642578,56.95383071899414,19.099794387817383,66.86135864257812,34.492801666259766,25.845882415771484,80.69883728027344,26.23155975341797,74.76892852783203,41.61653137207031,29.755491256713867,100.46456146240234,58.748741149902344,76.35145568847656,67.49722290039062,75.18994140625,42.09792709350586,36.28077697753906,6.488142967224121,0.47098854184150696,36.669189453125,68.9078369140625,63.613895416259766,52.16401290893555,120.66783142089844,13.732000350952148,40.29352951049805,91.50628662109375,57.97407150268555,23.611379623413086,56.368255615234375
